"","transcript_id","chr_name","start","end","transcript_size","CDS_length","number_exons","gene_id","ns","s","CUB_dmel"
"8757","ENSBTAT00000002902","6",117268728,117297832,29104,640,5,"ENSBTAG00000002247",11,3,0.363157649853195
"8758","ENSBTAT00000002970","6",45245502,45336021,90519,3315,21,"ENSBTAG00000002299",98,44,0.162751615960722
"8759","ENSBTAT00000003013","6",71974398,71982671,8273,217,2,"ENSBTAG00000002333",24,8,0.210052951805001
"8760","ENSBTAT00000003032","6",86382020,86808296,426276,3227,25,"ENSBTAG00000002348",43,27,0.148646455570991
"8761","ENSBTAT00000003040","6",59389719,59400252,10533,1769,4,"ENSBTAG00000002356",183,61,0.467624003079626
"8762","ENSBTAT00000003097","6",12225308,12311458,86150,3200,22,"ENSBTAG00000002392",81,43,0.0959163199229328
"8763","ENSBTAT00000003165","6",19708771,19805439,96668,970,11,"ENSBTAG00000002428",17,7,0.316401080555448
"8764","ENSBTAT00000003191","6",102066195,102093270,27075,1842,9,"ENSBTAG00000002455",51,15,0.45078772738742
"8765","ENSBTAT00000003266","6",99307040,99312032,4992,1095,3,"ENSBTAG00000002518",75,38,0.459223367291781
"8766","ENSBTAT00000003277","6",21765502,21789314,23812,726,9,"ENSBTAG00000002526",10,9,0.146509484814872
"8767","ENSBTAT00000003304","6",60856462,60859886,3424,399,3,"ENSBTAG00000002550",17,8,0.489636819675701
"8768","ENSBTAT00000003330","6",6097783,6135338,37555,787,5,"ENSBTAG00000002574",19,7,0.324568217470788
"8769","ENSBTAT00000003409","6",85450270,85457744,7474,769,8,"ENSBTAG00000002632",18,5,0.228187764901797
"8770","ENSBTAT00000003498","6",70166794,70251933,85139,2910,21,"ENSBTAG00000002699",62,30,0.13345636132362
"8771","ENSBTAT00000003762","6",30715621,30716676,1055,1055,1,"ENSBTAG00000002895",124,32,0.280353997170342
"8772","ENSBTAT00000003769","6",25480714,25512508,31794,1131,9,"ENSBTAG00000034139",21,15,0.37947711656022
"8773","ENSBTAT00000003804","6",85903781,85916982,13201,625,8,"ENSBTAG00000002928",47,12,0.270435866717768
"8774","ENSBTAT00000003877","6",95881428,95992291,110863,2268,18,"ENSBTAG00000002978",54,27,0.160716263146966
"8775","ENSBTAT00000004180","6",108600473,108697374,96901,656,7,"ENSBTAG00000003218",36,12,0.346667642479795
"8776","ENSBTAT00000004355","6",112942655,112952419,9764,693,3,"ENSBTAG00000003357",27,12,0.253931282024343
"8777","ENSBTAT00000004472","6",68307781,68378475,70694,1089,9,"ENSBTAG00000003443",14,8,0.111776261063862
"8778","ENSBTAT00000004581","6",84225834,84251695,25861,1578,6,"ENSBTAG00000051713",69,13,0.363293572872462
"8779","ENSBTAT00000004696","6",45773078,45883898,110820,1450,11,"ENSBTAG00000003602",62,22,0.389729149199166
"8780","ENSBTAT00000004721","6",6493716,6605448,111732,3074,22,"ENSBTAG00000003619",155,65,0.0847772232134059
"8781","ENSBTAT00000004759","6",104881314,104931209,49895,1830,6,"ENSBTAG00000003651",184,65,0.160252987413984
"8782","ENSBTAT00000004760","6",104853866,104866793,12927,491,4,"ENSBTAG00000003652",13,11,0.262775690666076
"8783","ENSBTAT00000004763","6",104828015,104839551,11536,1138,8,"ENSBTAG00000003653",68,30,0.207163303374873
"8784","ENSBTAT00000004899","6",113216720,113217361,641,641,1,"ENSBTAG00000003766",95,20,0.323394216351121
"8785","ENSBTAT00000004915","6",115585588,115591282,5694,765,3,"ENSBTAG00000003776",92,23,0.401177458435972
"8786","ENSBTAT00000005148","6",13245285,13272411,27126,896,10,"ENSBTAG00000003941",42,14,0.507154534525347
"8787","ENSBTAT00000005165","6",100814644,100886779,72135,1955,7,"ENSBTAG00000003959",128,34,0.135208920532483
"8788","ENSBTAT00000005295","6",89245066,89251272,6206,454,5,"ENSBTAG00000004052",2,3,0.325182426394723
"8789","ENSBTAT00000005348","6",102371038,102393108,22070,1952,10,"ENSBTAG00000004094",45,10,0.272812240281446
"8790","ENSBTAT00000005539","6",18871394,19072432,201038,2746,26,"ENSBTAG00000004227",161,57,0.328113677773939
"8791","ENSBTAT00000005542","6",18837607,18855875,18268,933,6,"ENSBTAG00000004230",22,12,0.546221254611862
"8792","ENSBTAT00000005549","6",89686470,89731819,45349,529,5,"ENSBTAG00000004237",17,4,0.168488609360657
"8793","ENSBTAT00000005582","6",117253791,117256721,2930,991,5,"ENSBTAG00000004261",102,30,0.464691640459722
"8794","ENSBTAT00000005613","6",103500717,103662342,161625,3878,22,"ENSBTAG00000004277",313,112,0.107138353494082
"8795","ENSBTAT00000005621","6",103394281,103497097,102816,2958,21,"ENSBTAG00000004287",267,102,0.185931374329145
"8796","ENSBTAT00000005625","6",103327685,103388359,60674,1702,14,"ENSBTAG00000004292",113,48,0.204786062276803
"8797","ENSBTAT00000005626","6",91826298,91867586,41288,1248,9,"ENSBTAG00000021372",52,26,0.147870566174281
"8798","ENSBTAT00000005668","6",56965134,57025828,60694,807,6,"ENSBTAG00000004329",29,11,0.154055725671245
"8799","ENSBTAT00000005785","6",83750665,83789801,39136,1302,9,"ENSBTAG00000004412",72,26,0.550282559788347
"8800","ENSBTAT00000005799","6",24740992,24777890,36898,1129,8,"ENSBTAG00000004426",55,14,0.495766368702955
"8801","ENSBTAT00000005802","6",24737311,24739021,1710,379,5,"ENSBTAG00000004428",12,1,0.359531337052506
"8802","ENSBTAT00000006007","6",10931353,11003669,72316,1618,5,"ENSBTAG00000004574",35,22,0.140949727995707
"8803","ENSBTAT00000006107","6",41984738,42116814,132076,3926,19,"ENSBTAG00000004653",121,61,0.109987210804271
"8804","ENSBTAT00000006298","6",114718739,114743685,24946,2275,11,"ENSBTAG00000004797",311,131,0.208494852063602
"8805","ENSBTAT00000006428","6",67165610,67170875,5265,1341,3,"ENSBTAG00000004888",108,29,0.190771326476074
"8806","ENSBTAT00000006467","6",88190648,88354991,164343,7811,34,"ENSBTAG00000004912",216,99,0.52420358596447
"8807","ENSBTAT00000006475","6",91194089,91199156,5067,277,2,"ENSBTAG00000004921",7,2,0.222823714453852
"8808","ENSBTAT00000006502","6",3432100,3444720,12620,1308,12,"ENSBTAG00000004942",32,24,0.414196909391481
"8809","ENSBTAT00000006503","6",3425820,3431412,5592,1278,9,"ENSBTAG00000004943",49,17,0.358954943529055
"8810","ENSBTAT00000006505","6",3385519,3423320,37801,2126,19,"ENSBTAG00000004945",80,24,0.402125371858332
"8811","ENSBTAT00000006565","6",45921595,45931633,10038,1274,7,"ENSBTAG00000004988",74,30,0.171869143134764
"8812","ENSBTAT00000006590","6",85531902,85543845,11943,650,16,"ENSBTAG00000005005",32,9,0.289142015681813
"8813","ENSBTAT00000006670","6",66757831,66815429,57598,1566,15,"ENSBTAG00000005055",50,16,0.262578430602669
"8814","ENSBTAT00000006929","6",36693910,36699013,5103,597,6,"ENSBTAG00000005260",12,5,0.238964332259969
"8815","ENSBTAT00000007094","6",88174351,88184784,10433,1017,6,"ENSBTAG00000005394",63,27,0.164797275304313
"8816","ENSBTAT00000007240","6",90810564,90841097,30533,2038,23,"ENSBTAG00000007639",31,19,0.208301630580559
"8817","ENSBTAT00000007448","6",22459922,22541237,81315,1375,8,"ENSBTAG00000005668",42,26,0.194602605375221
"8818","ENSBTAT00000007502","6",104706677,104737506,30829,551,4,"ENSBTAG00000005711",46,25,0.230568091194765
"8819","ENSBTAT00000007503","6",104587352,104704233,116881,994,11,"ENSBTAG00000005712",104,25,0.165197318223635
"8820","ENSBTAT00000007549","6",98038318,98065034,26716,1106,7,"ENSBTAG00000005744",59,28,0.175594362959597
"8821","ENSBTAT00000007550","6",98072536,98118351,45815,1647,12,"ENSBTAG00000005745",36,13,0.174540494739142
"8822","ENSBTAT00000007563","6",36455590,36468541,12951,1110,6,"ENSBTAG00000005754",36,18,0.19271182991928
"8823","ENSBTAT00000007589","6",57145116,57181140,36024,1792,14,"ENSBTAG00000005773",79,27,0.23784775400086
"8824","ENSBTAT00000007791","6",37181078,37300921,119843,2983,17,"ENSBTAG00000005932",245,86,0.130744651097931
"8825","ENSBTAT00000007828","6",117743415,117771662,28247,2076,9,"ENSBTAG00000005964",84,32,0.113661688352483
"8826","ENSBTAT00000007860","6",37140821,37165816,24995,1544,13,"ENSBTAG00000005989",83,23,0.18146215738827
"8827","ENSBTAT00000007937","6",58266735,58332271,65536,2162,10,"ENSBTAG00000006044",55,30,0.556185539797105
"8828","ENSBTAT00000008097","6",110872421,110900476,28055,945,9,"ENSBTAG00000006156",15,8,0.137965017786442
"8829","ENSBTAT00000008272","6",102228132,102276843,48711,941,7,"ENSBTAG00000006307",43,21,0.274239755463145
"8830","ENSBTAT00000008434","6",6233767,6434476,200709,3772,5,"ENSBTAG00000006434",203,69,0.104422736430716
"8831","ENSBTAT00000008532","6",102631400,102676596,45196,2956,20,"ENSBTAG00000006508",135,47,0.207723701824647
"8832","ENSBTAT00000008725","6",56925981,56928339,2358,961,2,"ENSBTAG00000006643",143,39,0.130796682930165
"8833","ENSBTAT00000008985","6",83330538,83415764,85226,3138,33,"ENSBTAG00000006837",88,24,0.688538639416328
"8834","ENSBTAT00000008991","6",17084564,17187323,102759,1186,11,"ENSBTAG00000006844",39,9,0.296318392937813
"8835","ENSBTAT00000009128","6",97836463,97875093,38630,1208,10,"ENSBTAG00000006950",84,33,0.379227252014809
"8836","ENSBTAT00000009185","6",25285259,25301793,16534,1141,11,"ENSBTAG00000034189",36,18,0.212078713792228
"8837","ENSBTAT00000009191","6",25414300,25429575,15275,1116,9,"ENSBTAG00000006991",31,16,0.269047847428344
"8838","ENSBTAT00000009210","6",117379932,117386598,6666,2616,3,"ENSBTAG00000007001",337,127,0.579928040544208
"8839","ENSBTAT00000009212","6",117374273,117388382,14109,1915,14,"ENSBTAG00000007002",265,84,0.534224957293096
"8840","ENSBTAT00000009238","6",15552135,15569552,17417,1994,4,"ENSBTAG00000007019",85,42,0.17163404287935
"8841","ENSBTAT00000009427","6",116767865,116780552,12687,2339,16,"ENSBTAG00000007164",273,91,0.573445015555649
"8842","ENSBTAT00000009441","6",69733258,69768277,35019,3245,22,"ENSBTAG00000007173",95,36,0.0842922949140877
"8843","ENSBTAT00000009461","6",90325583,90340111,14528,774,9,"ENSBTAG00000007189",70,13,0.355127600276859
"8844","ENSBTAT00000009462","6",90341275,90365046,23771,537,3,"ENSBTAG00000007190",19,6,0.335623218442038
"8845","ENSBTAT00000009526","6",44864868,44914982,50114,1526,13,"ENSBTAG00000007240",64,22,0.32454434655146
"8846","ENSBTAT00000009623","6",6963367,7064792,101425,1560,6,"ENSBTAG00000007316",91,18,0.263392111466352
"8847","ENSBTAT00000009799","6",106504343,106505278,935,935,1,"ENSBTAG00000007449",96,34,0.460882758076803
"8848","ENSBTAT00000009904","6",26125436,26227852,102416,1666,14,"ENSBTAG00000007522",49,15,0.483011537571997
"8849","ENSBTAT00000009958","6",36850480,36861848,11368,1655,4,"ENSBTAG00000007568",30,17,0.319148151884401
"8850","ENSBTAT00000010119","6",85413196,85427449,14253,626,16,"ENSBTAG00000007695",26,6,0.275404335287224
"8851","ENSBTAT00000010415","6",24804431,24859336,54905,831,9,"ENSBTAG00000007921",21,15,0.211415322086966
"8852","ENSBTAT00000010497","6",116643231,116685467,42236,4074,21,"ENSBTAG00000007986",405,122,0.382746527142558
"8853","ENSBTAT00000010518","6",102152421,102152828,407,407,1,"ENSBTAG00000047432",8,3,0.347250541297768
"8854","ENSBTAT00000010865","6",4138429,4198237,59808,1287,6,"ENSBTAG00000008255",99,30,0.13071826389802
"8855","ENSBTAT00000010972","6",14913310,14991682,78372,2848,20,"ENSBTAG00000008332",99,38,0.236122176726195
"8856","ENSBTAT00000011164","6",92284813,92290451,5638,323,4,"ENSBTAG00000008479",17,5,0.222711901640866
"8857","ENSBTAT00000011166","6",117209671,117225130,15459,1281,9,"ENSBTAG00000008480",133,43,0.454708367233351
"8858","ENSBTAT00000011313","6",86202045,86214786,12741,1434,9,"ENSBTAG00000008577",47,11,0.306871541145673
"8859","ENSBTAT00000011590","6",19485471,19635723,150252,2329,14,"ENSBTAG00000008797",62,33,0.146091409641308
"8860","ENSBTAT00000011702","6",93655671,93677616,21945,927,6,"ENSBTAG00000008887",29,9,0.191996888382998
"8861","ENSBTAT00000011714","6",44133880,44187263,53383,2371,14,"ENSBTAG00000008896",65,21,0.496545268413715
"8862","ENSBTAT00000011778","6",2168512,2170389,1877,1877,1,"ENSBTAG00000008947",59,18,0.156094198353135
"8863","ENSBTAT00000011898","6",21674399,21756678,82279,7869,48,"ENSBTAG00000009035",533,160,0.731459778741926
"8864","ENSBTAT00000011939","6",14846408,14850805,4397,972,3,"ENSBTAG00000009059",125,38,0.248087372123622
"8865","ENSBTAT00000011957","6",87313850,87324770,10920,1304,4,"ENSBTAG00000009070",28,14,0.198571598624618
"8866","ENSBTAT00000012263","6",86071697,86073118,1421,1421,1,"ENSBTAG00000009310",45,17,0.228376181278319
"8867","ENSBTAT00000012400","6",66717080,66744150,27070,1230,6,"ENSBTAG00000009423",15,12,0.228916750716806
"8868","ENSBTAT00000012468","6",71360600,71427244,66644,3393,24,"ENSBTAG00000009471",197,58,0.729224792059014
"8869","ENSBTAT00000012530","6",25690851,25704775,13924,627,6,"ENSBTAG00000009522",18,3,0.39737821143435
"8870","ENSBTAT00000012693","6",12971288,12982900,11612,1704,12,"ENSBTAG00000009632",67,19,0.541449769515857
"8871","ENSBTAT00000012761","6",21808278,21851760,43482,1594,11,"ENSBTAG00000040088",11,12,0.404073937748803
"8872","ENSBTAT00000012847","6",116021094,116105630,84536,4237,20,"ENSBTAG00000009744",590,194,0.356261013410531
"8873","ENSBTAT00000012939","6",88897061,88898027,966,332,4,"ENSBTAG00000009812",31,10,0.167085368968327
"8874","ENSBTAT00000012967","6",55680843,55762659,81816,2713,11,"ENSBTAG00000009833",131,42,0.368697014220573
"8875","ENSBTAT00000012987","6",97949405,97959280,9875,324,3,"ENSBTAG00000009849",14,2,0.191542552659852
"8876","ENSBTAT00000013357","6",36053550,36183546,129996,3126,24,"ENSBTAG00000010120",144,55,0.143368068641687
"8877","ENSBTAT00000013363","6",36082859,36083434,575,575,1,"ENSBTAG00000010128",48,16,0.333267884734921
"8878","ENSBTAT00000013431","6",113529757,113543038,13281,647,4,"ENSBTAG00000010181",50,12,0.284329211265309
"8879","ENSBTAT00000013438","6",113512036,113524511,12475,1279,2,"ENSBTAG00000010185",140,37,0.659887103455344
"8880","ENSBTAT00000013457","6",13112407,13160538,48131,814,8,"ENSBTAG00000034875",23,10,0.160456315279033
"8881","ENSBTAT00000013571","6",89307130,89324423,17293,484,5,"ENSBTAG00000010273",24,5,0.323983408739436
"8882","ENSBTAT00000013587","6",16554257,16572632,18375,1478,13,"ENSBTAG00000010284",37,24,0.232336491025117
"8883","ENSBTAT00000013656","6",110458307,110585687,127380,885,3,"ENSBTAG00000010343",40,17,0.17732618888154
"8884","ENSBTAT00000013661","6",86004178,86021545,17367,3433,8,"ENSBTAG00000010346",232,74,0.539899673543169
"8885","ENSBTAT00000013713","6",91219384,91222887,3503,1000,2,"ENSBTAG00000010389",48,23,0.174627806765402
"8886","ENSBTAT00000013967","6",15228805,15358544,129739,788,4,"ENSBTAG00000010564",12,8,0.245809521711725
"8887","ENSBTAT00000013985","6",71796672,71841274,44602,2487,15,"ENSBTAG00000010577",89,28,0.509487134670707
"8888","ENSBTAT00000014015","6",71846150,71871264,25114,1994,19,"ENSBTAG00000010593",54,24,0.26314757228008
"8889","ENSBTAT00000014026","6",24526947,24529391,2444,577,2,"ENSBTAG00000010610",7,6,0.17206268434053
"8890","ENSBTAT00000014028","6",67497968,67518724,20756,733,8,"ENSBTAG00000010611",22,9,0.45382178609784
"8891","ENSBTAT00000014031","6",71874725,71889293,14568,551,4,"ENSBTAG00000010615",5,1,0.159535736951102
"8892","ENSBTAT00000014058","6",4403331,4413943,10612,1701,3,"ENSBTAG00000010634",58,28,0.0766573534742993
"8893","ENSBTAT00000014447","6",104282262,104285568,3306,907,2,"ENSBTAG00000010875",84,32,0.356428071572585
"8894","ENSBTAT00000014473","6",108754573,108757070,2497,988,2,"ENSBTAG00000010896",94,39,0.647990782672666
"8895","ENSBTAT00000014479","6",5745779,5890160,144381,2574,21,"ENSBTAG00000024888",80,31,0.135386741153413
"8896","ENSBTAT00000014548","6",91010970,91043017,32047,1518,12,"ENSBTAG00000010955",27,15,0.518729949959632
"8897","ENSBTAT00000014549","6",91051040,91130652,79612,1422,12,"ENSBTAG00000010956",35,36,0.152659773319787
"8898","ENSBTAT00000014663","6",116835750,116838788,3038,1082,4,"ENSBTAG00000011042",253,70,0.563623332677259
"8899","ENSBTAT00000014818","6",61243797,61477825,234028,3411,36,"ENSBTAG00000011156",94,43,0.325837855361423
"8900","ENSBTAT00000014829","6",104144869,104151815,6946,415,5,"ENSBTAG00000011163",52,23,0.177810901117133
"8901","ENSBTAT00000014855","6",35929317,36028220,98903,2073,18,"ENSBTAG00000011187",124,47,0.139506116790316
"8902","ENSBTAT00000015090","6",102320670,102355045,34375,1039,8,"ENSBTAG00000011354",51,16,0.300568519114981
"8903","ENSBTAT00000015688","6",64821262,64960779,139517,1344,9,"ENSBTAG00000011817",58,23,0.315455274001063
"8904","ENSBTAT00000015836","6",88625430,88681985,56555,995,10,"ENSBTAG00000011935",20,12,0.415995153164654
"8905","ENSBTAT00000015850","6",25007194,25062506,55312,2664,18,"ENSBTAG00000011944",65,28,0.174113061038988
"8906","ENSBTAT00000015862","6",85309750,85327919,18169,878,7,"ENSBTAG00000011952",38,12,0.377005863142643
"8907","ENSBTAT00000015874","6",88915480,88925079,9599,879,6,"ENSBTAG00000011961",55,17,0.173620719947483
"8908","ENSBTAT00000015886","6",37315445,37320955,5510,520,2,"ENSBTAG00000011973",12,2,0.353081934713372
"8909","ENSBTAT00000016131","6",91226894,91294472,67578,3128,22,"ENSBTAG00000012157",55,24,0.29664059327489
"8910","ENSBTAT00000016309","6",64586941,64674487,87546,1386,9,"ENSBTAG00000012296",12,12,0.482794142043009
"8911","ENSBTAT00000016375","6",25924055,26102206,178151,796,8,"ENSBTAG00000012343",40,19,0.163095312098421
"8912","ENSBTAT00000016449","6",86319316,86343396,24080,773,7,"ENSBTAG00000012397",77,31,0.334186818065369
"8913","ENSBTAT00000016537","6",114139266,114230873,91607,2174,16,"ENSBTAG00000012464",194,73,0.268490300211219
"8914","ENSBTAT00000016642","6",15694143,15714592,20449,872,7,"ENSBTAG00000012537",38,16,0.178434740963225
"8915","ENSBTAT00000016693","6",117125939,117152535,26596,1292,10,"ENSBTAG00000012575",160,44,0.452379785286624
"8916","ENSBTAT00000016697","6",117097416,117117774,20358,2162,13,"ENSBTAG00000012577",312,80,0.337626875135325
"8917","ENSBTAT00000016796","6",2111680,2141440,29760,602,7,"ENSBTAG00000012658",38,12,0.257397238117268
"8918","ENSBTAT00000017030","6",29995150,30138688,143538,694,8,"ENSBTAG00000012818",33,10,0.249765358743225
"8919","ENSBTAT00000017229","6",17497662,17601090,103428,1992,12,"ENSBTAG00000012961",52,23,0.187386663421576
"8920","ENSBTAT00000017242","6",18126327,18254192,127865,773,4,"ENSBTAG00000012969",54,27,0.146930336024988
"8921","ENSBTAT00000017246","6",17264123,17282366,18243,1624,5,"ENSBTAG00000012972",113,35,0.0861426645596906
"8922","ENSBTAT00000017276","6",15717984,15813056,95072,997,8,"ENSBTAG00000012995",20,14,0.184990153528984
"8923","ENSBTAT00000017477","6",94038483,94039169,686,686,1,"ENSBTAG00000013149",19,14,0.124263972965078
"8924","ENSBTAT00000017893","6",59249049,59249621,572,572,1,"ENSBTAG00000013451",34,14,0.166122117160794
"8925","ENSBTAT00000017949","6",99508635,99723220,214585,10463,64,"ENSBTAG00000013495",253,127,0.0976035865367928
"8926","ENSBTAT00000018042","6",110986724,111041007,54283,826,8,"ENSBTAG00000013569",21,7,0.133604235444588
"8927","ENSBTAT00000018092","6",105291861,105332517,40656,1803,15,"ENSBTAG00000013607",133,40,0.430160874273217
"8928","ENSBTAT00000018206","6",57214173,57428337,214164,3476,19,"ENSBTAG00000013699",183,60,0.0475397622500825
"8929","ENSBTAT00000018252","6",111165325,111279541,114216,2567,25,"ENSBTAG00000013736",60,37,0.155102750655939
"8930","ENSBTAT00000018508","6",77075369,77651499,576130,4689,24,"ENSBTAG00000013918",140,76,0.225570688949047
"8931","ENSBTAT00000018510","6",19304080,19440065,135985,1882,11,"ENSBTAG00000013927",22,12,0.2837090967565
"8932","ENSBTAT00000018540","6",97144865,97160205,15340,1057,8,"ENSBTAG00000013952",26,7,0.400892773170392
"8933","ENSBTAT00000018580","6",44389994,44392231,2237,754,2,"ENSBTAG00000013980",182,48,0.512835535976526
"8934","ENSBTAT00000018600","6",115911953,115921349,9396,1674,12,"ENSBTAG00000013996",215,69,0.391677603541974
"8935","ENSBTAT00000018621","6",117552710,117576980,24270,718,8,"ENSBTAG00000014017",42,14,0.177804701518437
"8936","ENSBTAT00000018658","6",58034653,58037088,2435,2435,1,"ENSBTAG00000014042",47,25,0.405667077405292
"8937","ENSBTAT00000018663","6",90470500,90485079,14579,1337,10,"ENSBTAG00000014041",89,32,0.573431655881642
"8938","ENSBTAT00000018687","6",111699992,112153362,453370,1105,8,"ENSBTAG00000014058",19,11,0.175269049656821
"8939","ENSBTAT00000018700","6",98233663,98250554,16891,1221,9,"ENSBTAG00000014076",26,18,0.315356785313247
"8940","ENSBTAT00000018721","6",6641361,6679056,37695,1357,11,"ENSBTAG00000014080",53,24,0.460111719300183
"8941","ENSBTAT00000018910","6",16671308,16674905,3597,347,4,"ENSBTAG00000014226",14,2,0.23375879792232
"8942","ENSBTAT00000019050","6",94581775,94757502,175727,1447,17,"ENSBTAG00000014324",45,21,0.255213080021781
"8943","ENSBTAT00000019230","6",11800394,12103157,302763,1425,15,"ENSBTAG00000014463",56,26,0.199303822114784
"8944","ENSBTAT00000019294","6",58350077,58422158,72081,3990,36,"ENSBTAG00000014512",151,65,0.207649774635217
"8945","ENSBTAT00000019296","6",58431362,58466072,34710,2956,23,"ENSBTAG00000014515",92,36,0.379074243688334
"8946","ENSBTAT00000019297","6",58528653,58560535,31882,3043,5,"ENSBTAG00000014517",146,60,0.0731591411995615
"8947","ENSBTAT00000019298","6",58564979,58568973,3994,570,6,"ENSBTAG00000014518",2,1,0.264221082050584
"8948","ENSBTAT00000019299","6",58569644,58581145,11501,1105,11,"ENSBTAG00000014520",32,15,0.521449277042894
"8949","ENSBTAT00000019302","6",58586665,58611382,24717,1471,11,"ENSBTAG00000014521",55,26,0.295240747358562
"8950","ENSBTAT00000019303","6",58632930,58662403,29473,293,4,"ENSBTAG00000014522",6,3,0.289653798670679
"8951","ENSBTAT00000019433","6",67854420,67875653,21233,2567,4,"ENSBTAG00000014599",123,37,0.118745274513328
"8952","ENSBTAT00000019464","6",44702033,44737000,34967,1747,11,"ENSBTAG00000014616",154,46,0.297961178511924
"8953","ENSBTAT00000019695","6",114792016,114815291,23275,1921,11,"ENSBTAG00000014803",262,83,0.534289943137635
"8954","ENSBTAT00000019699","6",97212606,97216246,3640,1253,7,"ENSBTAG00000014804",181,65,0.350280555807103
"8955","ENSBTAT00000019702","6",97217404,97254770,37366,777,6,"ENSBTAG00000014805",63,17,0.156349344474046
"8956","ENSBTAT00000019855","6",70803189,70818621,15432,949,5,"ENSBTAG00000014913",51,21,0.138087563977257
"8957","ENSBTAT00000020124","6",115983814,116011381,27567,1263,6,"ENSBTAG00000015126",200,52,0.470879120064211
"8958","ENSBTAT00000020233","6",116371610,116382568,10958,621,6,"ENSBTAG00000015209",30,8,0.356725044708595
"8959","ENSBTAT00000020263","6",15675764,15686876,11112,551,4,"ENSBTAG00000015230",33,22,0.136369842572515
"8960","ENSBTAT00000020291","6",13067507,13068316,809,809,1,"ENSBTAG00000015259",145,49,0.303473938175712
"8961","ENSBTAT00000020304","6",35692064,35693638,1574,1574,1,"ENSBTAG00000015265",42,16,0.491977311426162
"8962","ENSBTAT00000020342","6",22696166,23015899,319733,2327,16,"ENSBTAG00000015297",90,32,0.319672449958813
"8963","ENSBTAT00000020480","6",103709339,104112917,403578,1141,11,"ENSBTAG00000015409",38,22,0.141359996647927
"8964","ENSBTAT00000020539","6",90714359,90747034,32675,2243,16,"ENSBTAG00000015449",158,59,0.102900052900373
"8965","ENSBTAT00000020549","6",27929407,27930371,964,838,2,"ENSBTAG00000015464",45,23,0.26784814523174
"8966","ENSBTAT00000020694","6",84102019,84139118,37099,2167,17,"ENSBTAG00000015572",78,27,0.588648385620825
"8967","ENSBTAT00000020782","6",58181293,58223835,42542,929,7,"ENSBTAG00000015649",12,7,0.451471929182259
"8968","ENSBTAT00000020879","6",25176418,25191442,15024,1126,11,"ENSBTAG00000015729",59,14,0.261978066691054
"8969","ENSBTAT00000021168","6",89848014,89973386,125372,896,4,"ENSBTAG00000015919",72,31,0.175680217839048
"8970","ENSBTAT00000021189","6",114318754,114465449,146695,1778,19,"ENSBTAG00000015926",187,50,0.273859686342072
"8971","ENSBTAT00000021300","6",34854945,34999755,144810,415,5,"ENSBTAG00000024957",4,12,0.23767820382289
"8972","ENSBTAT00000021303","6",25554341,25603835,49494,1147,11,"ENSBTAG00000016004",51,22,0.290103069082215
"8973","ENSBTAT00000021304","6",25528894,25543417,14523,1113,9,"ENSBTAG00000016007",27,12,0.241352945824544
"8974","ENSBTAT00000021305","6",23445470,23767839,322369,1549,14,"ENSBTAG00000016005",47,29,0.206975742190826
"8975","ENSBTAT00000021612","6",21354683,21441787,87104,1384,5,"ENSBTAG00000016247",92,43,0.114190412528719
"8976","ENSBTAT00000021671","6",86286163,86302671,16508,639,6,"ENSBTAG00000016290",11,6,0.331958831324057
"8977","ENSBTAT00000022141","6",65498476,65572976,74500,1549,8,"ENSBTAG00000016645",41,14,0.449865833396999
"8978","ENSBTAT00000022343","6",86092957,86171200,78243,1500,12,"ENSBTAG00000016795",18,13,0.262280932500953
"8979","ENSBTAT00000022353","6",17297420,17318179,20759,1090,5,"ENSBTAG00000016805",44,12,0.125057115773187
"8980","ENSBTAT00000022366","6",89073049,89074409,1360,308,4,"ENSBTAG00000037558",37,8,0.267856350938791
"8981","ENSBTAT00000022636","6",43383496,43486417,102921,2443,14,"ENSBTAG00000017024",81,30,0.169812784233752
"8982","ENSBTAT00000022642","6",90560846,90640931,80085,2859,24,"ENSBTAG00000017028",122,39,0.505677028449849
"8983","ENSBTAT00000022662","6",5970391,5973307,2916,389,4,"ENSBTAG00000017045",26,2,0.390026264450474
"8984","ENSBTAT00000022664","6",84443654,84464638,20984,1581,6,"ENSBTAG00000039991",44,24,0.289596032228699
"8985","ENSBTAT00000022700","6",30286544,30303211,16667,592,5,"ENSBTAG00000017073",9,2,0.357457254532567
"8986","ENSBTAT00000022763","6",88484995,88500790,15795,1807,14,"ENSBTAG00000017121",49,18,0.406075168169417
"8987","ENSBTAT00000022772","6",88511227,88531988,20761,1816,14,"ENSBTAG00000017131",71,21,0.346600481053617
"8988","ENSBTAT00000022905","6",117399827,117410056,10229,2803,23,"ENSBTAG00000017240",371,117,0.576100389276579
"8989","ENSBTAT00000023023","6",116437411,116589288,151877,2726,25,"ENSBTAG00000017296",128,38,0.115256028034661
"8990","ENSBTAT00000023055","6",115437238,115444580,7342,1939,14,"ENSBTAG00000017335",248,70,0.500850440396075
"8991","ENSBTAT00000023064","6",94954899,94977663,22764,807,3,"ENSBTAG00000017348",114,24,0.11993225665558
"8992","ENSBTAT00000023103","6",13334322,13375523,41201,412,2,"ENSBTAG00000017375",23,5,0.258530776346517
"8993","ENSBTAT00000023124","6",44589930,44617975,28045,1627,8,"ENSBTAG00000017390",91,43,0.136588703753079
